dataset,entry_cycle,window_index,center_cycle,state_uncertainty,uncertainty_feature_config_dispersion,uncertainty_ood,uncertainty_target_pair_evidence,uncertainty_prior_adapted_disagreement,uncertainty_adapter_boundary,uncertainty_local_volatility_or_gate,direction
Exp2,0.0,157,795.5,0.25044925598950957,0.00014920096049471766,0.41699252161997125,1.0,0.0,0.0,0.08555381335659137,Exp1_to_Exp2
Exp2,0.0,158,800.5,0.24997743020076726,0.00014875916225336598,0.41475853585988975,1.0,0.0,0.0,0.08495728618246062,Exp1_to_Exp2
Exp2,0.0,159,805.5,0.2494624685341281,0.00015866574391755768,0.4117104923914955,1.0,0.0,0.0,0.08490565306935559,Exp1_to_Exp2
Exp2,0.0,160,810.5,0.249337493541927,0.00015649973644182792,0.410831793835608,1.0,0.0,0.0,0.08503666767951205,Exp1_to_Exp2
Exp2,0.0,161,815.5,0.2487875978131969,0.00015527843628539265,0.40758250102211,1.0,0.0,0.0,0.08498780742078592,Exp1_to_Exp2
Exp2,0.0,162,820.5,0.2487424750266022,0.000148190183139835,0.40719022633153357,1.0,0.0,0.0,0.08511643364493998,Exp1_to_Exp2
Exp2,0.0,163,825.5,0.24904358935401216,0.00013966534158544577,0.40897711511437274,1.0,0.0,0.0,0.08514475566811489,Exp1_to_Exp2
Exp2,0.0,164,830.5,0.24886305060526792,0.00012751953151824794,0.40792037633176836,1.0,0.0,0.0,0.08513040776832104,Exp1_to_Exp2
Exp2,0.0,165,835.5,0.24921382118365112,0.00011366016307598694,0.410163175540024,1.0,0.0,0.0,0.08500609139880677,Exp1_to_Exp2
Exp2,0.0,166,840.5,0.24921291399901088,0.00048121354241411436,0.4100427421777788,1.0,0.0,0.0,0.08475352827387225,Exp1_to_Exp2
