direction,source_dataset,target_dataset,entry_cycle,prefix_fraction,adapter,source_model_frozen_hash,update_index,pair_earlier_cycle,pair_later_cycle,adapter_parameter_norm,adapter_step_norm,objective_loss,l2,numeric_abort
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,350,360.5,2260.5,0.5499999999999999,0.036757092468013966,0.11196376202765948,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,375,1445.5,2385.5,0.55,0.053117829416747905,0.47289290180166954,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,400,1770.5,2510.5,0.55,0.003715336981958207,0.028923189226960595,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,425,1455.5,2635.5,0.55,0.024228946409164034,0.11668998754183102,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,450,690.5,2760.5,0.55,0.03686198858275189,0.10092152518076587,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,475,80.5,2885.5,0.546091589862078,0.003940215994312319,0.025102551252079122,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,500,2305.5,3010.5,0.5156404741952343,0.08,1.835823240379244,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,525,1245.5,3135.5,0.55,0.008918387658901595,0.04986888916383055,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,550,2260.5,3260.5,0.5500000000000002,0.018727210633609073,0.0612932954904012,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,575,1715.5,3385.5,0.55,0.08,0.38864698434550815,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,600,1655.5,3510.5,0.55,0.08,0.4498213348957876,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,625,1460.5,3635.5,0.55,0.013244234043497657,0.04124230634992229,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,650,2410.5,3760.5,0.5499999999999999,0.030889439135031987,0.05552906813976012,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,675,2935.5,3885.5,0.5452831347319554,0.00524354706455598,0.024856645698675444,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,700,1370.5,4010.5,0.55,0.08,0.22033794812353916,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,725,2230.5,4135.5,0.55,0.06108277402541306,0.15102006232528406,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,750,595.5,4260.5,0.55,0.08,0.38340982228613696,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,775,3215.5,4385.5,0.55,0.08000000000000002,0.7449833917549388,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,800,1475.5,4510.5,0.5500000000000002,0.08,0.22651642304148298,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,825,3230.5,4635.5,0.5500000000000002,0.08000000000000002,0.7069297399852333,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,850,2315.5,4760.5,0.5500000000000002,0.07215805896999986,0.15179752864415746,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,875,2035.5,4885.5,0.55,0.08,0.5505021053655851,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,900,4195.5,5010.5,0.5500000000000002,0.06791574983376546,0.4755570131282154,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,925,1835.5,5135.5,0.55,0.08000000000000002,0.2236801123907229,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,950,805.5,5260.5,0.55,0.08,0.40540308704650313,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,975,2020.5,5385.5,0.55,0.07064178165016798,0.13759162899947844,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1000,2080.5,5510.5,0.55,0.0741320296764228,0.13230665357258814,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Bounded_Baseline,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,1025,3550.5,5635.5,0.55,0.07999999999999999,0.21140971500385494,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,0,10.5,510.5,0.9180903747853415,0.9180903747853415,1.8076822080688837,0.15,0
Exp1_to_Exp2,Exp1,Exp2,0.0,0.4,Unbounded_L2,11cb11080644d77d91fc5e6a3103bcfa07d879003ee53363a3659012f104ba95,25,115.5,635.5,0.6899117983178088,0.006416368497068004,0.038523647940265,0.15,0
